Time		Value
0.00d0		1.000d0
0.05d0		1.005d0
0.10d0		1.010d0
0.15d0		1.015d0
0.20d0		1.020d0
0.25d0		1.025d0
0.30d0		1.030d0
0.35d0		1.035d0
0.40d0		1.040d0
0.45d0		1.045d0
0.50d0		1.050d0
0.55d0		1.055d0
0.60d0		1.060d0
0.65d0		1.065d0
0.70d0		1.070d0
0.75d0		1.075d0
0.80d0		1.080d0
0.85d0		1.085d0
0.90d0		1.090d0
0.95d0		1.095d0
1.00d0		1.100d0
1.05d0		1.105d0
1.10d0		1.110d0
1.15d0		1.115d0
1.20d0		1.120d0
1.25d0		1.125d0
1.30d0		1.130d0
1.35d0		1.135d0
1.40d0		1.140d0
1.45d0		1.145d0
1.50d0  	1.150d0
1.55d0  	1.150d0
